guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/curfews-are-in-place-uk-us-issue-travel-advisory-amid-northeast-violence-over-citizenship-act/story-x0BS9rDb7nyRdNsQBN8GfK.html',"b""'Curfews are in place': UK, US issue travel advisory amid northeast violence""","b'Sat, 14 Dec 2019 01:25:08 GMT '","b'The advisory noted demonstrations against the Citizenship (Amendment) Act (CAA) were taking place in some parts of India and there were reports of \xe2\x80\x9cviolent protest in North East India, especially in Assam and Tripura\xe2\x80\x9d. '",b'https://www.hindustantimes.com/india-news/curfews-are-in-place-uk-us-issue-travel-advisory-amid-northeast-violence-over-citizenship-act/story-x0BS9rDb7nyRdNsQBN8GfK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/14/Pictures/anti-cab-protest-assam_433660b6-1e10-11ea-9a53-e5149fe5d3ed.jpg
b'https://www.hindustantimes.com/columns/how-the-amended-citizenship-act-and-nrc-will-alter-the-idea-of-india/story-Qti007fZz8HIsqFn8NmTKL.html',"b'How Citizenship Act, NRC will alter the idea of India, writes Barkha Dutt'","b'Sat, 14 Dec 2019 01:06:50 GMT '",b'All of us will have to prove our Indianness. And the poorest and the Muslims will be the most hit',b'https://www.hindustantimes.com/columns/how-the-amended-citizenship-act-and-nrc-will-alter-the-idea-of-india/story-Qti007fZz8HIsqFn8NmTKL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/12/Pictures/demonstrators-amendment-slogans-guwahati-citizenship-protest-against_a792a628-1ca3-11ea-9a53-e5149fe5d3ed.jpg
b'https://www.hindustantimes.com/india-news/nirbhaya-convicts-under-depression-police-keep-a-close-watch-tihar-jail-sources/story-XYDKAAZCUXZjnYN4dvqAQM.html',"b'Dec 16 gang rape convicts depressed in Tihar, cops keeping watch: Report'","b'Sat, 14 Dec 2019 12:43:13 GMT '","b'The four convicts facing death in the 2012 Nirbhaya rape and murder case \xe2\x80\x94 Akshay, Mukesh, Pawan Gupta and Vinay Sharma \xe2\x80\x94 have also reduced their food intake, according to the jail authorities. '",b'https://www.hindustantimes.com/india-news/nirbhaya-convicts-under-depression-police-keep-a-close-watch-tihar-jail-sources/story-XYDKAAZCUXZjnYN4dvqAQM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/hindustan-december-sentenced-september-december-september-personals_716b992e-1dd4-11ea-9a0d-a0e38c0c67e3.jpg
b'https://www.hindustantimes.com/india-news/arson-clashes-as-protests-reach-bengal-up/story-Bqk4nMmh7tnVrkVU11QVIL.html',"b'Arson, clashes as anti-citizenship act protests reach Bengal, UP'","b'Fri, 13 Dec 2019 08:57:09 GMT '","b'In West Bengal, capital Kolkata witnessed snap demonstration at several places, bringing traffic to a standstill, while mass protest rallies were carried out in Muslim-dominated districts of rural Howrah, Murshidabad, Birbhum, parts of Burdwan and North Bengal. '",b'https://www.hindustantimes.com/india-news/arson-clashes-as-protests-reach-bengal-up/story-Bqk4nMmh7tnVrkVU11QVIL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/14/Pictures/cab-protest-in-howrah_dbdfef56-1dea-11ea-9a0d-a0e38c0c67e3.jpg
b'https://www.hindustantimes.com/india-news/dissent-grows-in-assam-s-ruling-bjp-agp-govt-many-leaders-quit/story-pasRBmc4m7EgTX0cPzlq6J.html',"b""Dissent grows in Assam's ruling BJP-AGP govt, many leaders quit""","b'Fri, 13 Dec 2019 08:53:06 GMT '","b'There is a feeling among some BJP leaders that the party failed to gauge the sentiment of the people, especially in the Assamese-dominated Brahamaputra Valley, where most of the protests have happened.'",b'https://www.hindustantimes.com/india-news/dissent-grows-in-assam-s-ruling-bjp-agp-govt-many-leaders-quit/story-pasRBmc4m7EgTX0cPzlq6J.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/14/Pictures/india-citizenship-bill_36febeae-1dea-11ea-9a0d-a0e38c0c67e3.jpg
b'https://www.hindustantimes.com/world-news/house-panel-approves-trump-charges-sets-up-impeachment-vote/story-Ks7A8xRrRMFWXquO5QvcmM.html',"b'House panel approves Trump charges, sets up impeachment vote'","b'Fri, 13 Dec 2019 03:36:26 GMT '","b'Democrats and Republicans in the House Judiciary Committee voted along strict party lines, 23 to 17. '",b'https://www.hindustantimes.com/world-news/house-panel-approves-trump-charges-sets-up-impeachment-vote/story-Ks7A8xRrRMFWXquO5QvcmM.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/washington-speaks-leave-child-white-summit-house_d40511fe-1dbc-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/editorials/it-is-time-to-worry-about-deepfakes/story-0DqR1PgTUYt3rVyqwdViYL.html',b'It is time to worry about deepfakes',"b'Fri, 13 Dec 2019 02:18:27 GMT '",b'Don\xe2\x80\x99t believe everything you see or hear. Verify it first',b'https://www.hindustantimes.com/editorials/it-is-time-to-worry-about-deepfakes/story-0DqR1PgTUYt3rVyqwdViYL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/young-man-screaming-news-fake-megaphone-spreading_42d91044-1db3-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/analysis/blaming-the-congress-for-partition-is-a-travesty/story-WAw9rLphDT76PmDaUoheFJ.html',b'Blaming the Congress for Partition is a travesty',"b'Fri, 13 Dec 2019 02:11:11 GMT '","b'History matters. With the British continuing to give the veto to Jinnah, that the Congress, with great reluctance, to avoid civil war, and because it was left with no choice, \xe2\x80\x9cagreed\xe2\x80\x9d to Partition'",b'https://www.hindustantimes.com/analysis/blaming-the-congress-for-partition-is-a-travesty/story-WAw9rLphDT76PmDaUoheFJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/12/Pictures/gandhi-and-jinnah_ecd10e56-1cc0-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/analysis/boris-johnson-s-win-is-good-news-for-india-uk-ties/story-8PSLJ7U4BSaQmF6oDnvv7H.html',"b""Boris Johnson's win is good news for India-UK ties""","b'Fri, 13 Dec 2019 01:59:35 GMT '","b'In contrast to Jeremy Corbyn\xe2\x80\x99s open hostility, Johnson wants closer ties and has spoken of working with Modi'",b'https://www.hindustantimes.com/analysis/boris-johnson-s-win-is-good-news-for-india-uk-ties/story-8PSLJ7U4BSaQmF6oDnvv7H.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/07/24/Pictures/britain-s-new-prime-minister-boris-johnson_dda6bc38-ae2e-11e9-a723-55bad35bb354.jpg
b'https://www.hindustantimes.com/india-news/not-their-choice-mha-rebuffs-5-states-who-won-t-implement-citizenship-law/story-oVy33IrfvxhSNjxTvWfdEN.html',"b""'Not their choice': MHA rebuffs 5 states who 'won't implement' citizenship law""","b'Fri, 13 Dec 2019 01:38:11 GMT '","b'Senior government officials said that once the Centre issues the notification to bring the new amendments into force, the state governments will have to abide by the law of the land.'",b'https://www.hindustantimes.com/india-news/not-their-choice-mha-rebuffs-5-states-who-won-t-implement-citizenship-law/story-oVy33IrfvxhSNjxTvWfdEN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/rally-protest-against-cab-and-nrc_cafca450-1da8-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/columns/wage-a-battle-against-india-s-rape-culture/story-YVUuB9U1lMSsdQnLDl5USJ.html',"b""Wage a battle against India's rape culture""","b'Fri, 13 Dec 2019 12:05:45 GMT '","b'We\xe2\x80\x99ve done the easy part \xe2\x80\x94 brought in tough laws, sanctioned fast-track courts, reduced the age of juveniles, and raised the age of consent. Now comes the hard part of mindset change, of demonstrating the will to stamp out violence against women, of realising there are no short-cuts or half-measures'",b'https://www.hindustantimes.com/columns/wage-a-battle-against-india-s-rape-culture/story-YVUuB9U1lMSsdQnLDl5USJ.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/swati-maliwal-hunger-strike-protest-hyderabad-politics_b9bca454-1da0-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/india-news/nitish-kumar-didn-t-listen-prashant-kishor-turns-to-cms-on-citizenship-law/story-isv7TZLxmq3o60CQK5GZvK.html',"b""Nitish Kumar didn't listen, Prashant Kishor turns to CMs on citizenship law""","b'Fri, 13 Dec 2019 11:23:15 GMT '","b'On Friday, Prashant Kishor appeared to rest his hopes of scuttling implementation of the contentious law on non-BJP chief ministers and urged them to step up.'",b'https://www.hindustantimes.com/india-news/nitish-kumar-didn-t-listen-prashant-kishor-turns-to-cms-on-citizenship-law/story-isv7TZLxmq3o60CQK5GZvK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/_f6869770-1d99-11ea-bfdc-71fa74a30dfe.jpg
b'https://www.hindustantimes.com/education/bihar-police-constable-recruitment-csbc-rejects-24-000-applications-check-full-list-here/story-Y7BTJxPKl1igcwQC9sklOP.html',"b'Bihar Police Constable Recruitment:&thinsp;CSBC&thinsp;rejects 24,000&thinsp;applications, check full...'","b'Fri, 13 Dec 2019 11:16:28 GMT '","b'Bihar Police Constable Recruitment:\xe2\x80\x89 Central Selection Board of Constable (CSBC)\xe2\x80\x89has rejected over 24, 000 invalid applications sent for the Bihar Police Constable Recruitment 02/2019. '",b'https://www.hindustantimes.com/education/bihar-police-constable-recruitment-csbc-rejects-24-000-applications-check-full-list-here/story-Y7BTJxPKl1igcwQC9sklOP.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/_c7922386-1d93-11ea-bfdc-71fa74a30dfe.png
b'https://www.hindustantimes.com/education/uppsc-pcs-admit-card-2019-direct-link-to-download-here-exam-on-december-15/story-WiPQTu6iGbvuwz48xJJpAO.html',"b'UPPSC PCS Admit Card 2019:&thinsp;Direct link to download here, exam on&thinsp;December 15'","b'Fri, 13 Dec 2019 09:06:31 GMT '",b'UPPSC will conduct the provincial civil services (PCS) exam on\xe2\x80\x89December 15. The admit card for UPPSC\xe2\x80\x89PCS\xe2\x80\x89exam 2019 has already been released. Here\xe2\x80\x99s the direct link to download admit card.',b'https://www.hindustantimes.com/education/uppsc-pcs-admit-card-2019-direct-link-to-download-here-exam-on-december-15/story-WiPQTu6iGbvuwz48xJJpAO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/_b87aa6ea-1d87-11ea-bfdc-71fa74a30dfe.png
b'https://www.hindustantimes.com/cricket/india-vs-west-indies-would-like-him-at-number-4-anil-kumble-backs-young-player-ahead-of-odi-series/story-7SDaTZM8QZN3FGxzSFZnKL.html',"b""India vs West Indies: 'Would like him at number 4' - Anil Kumble backs young player...""","b'Fri, 13 Dec 2019 06:46:36 GMT '",b'The former coach also said that he wished the bowlers headline the series as they will be challenged by the powerful West Indies batting order. ',b'https://www.hindustantimes.com/cricket/india-vs-west-indies-would-like-him-at-number-4-anil-kumble-backs-young-player-ahead-of-odi-series/story-7SDaTZM8QZN3FGxzSFZnKL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/12/13/Pictures/icc-board-meeting_cde2f1cc-1d73-11ea-9a0d-a0e38c0c67e3.jpg
